,molecule_chembl_id,units,IC50,smiles,pIC50
0,CHEMBL3706766,nM,180.0,N#Cc1c(N)cc2c(c1N)Cc1ccc(O)cc1O2,6.7447274948966935
1,CHEMBL3706767,nM,470.0,N#Cc1c(N)cc2c(c1N)Cc1cc(O)ccc1O2,6.327902142064282
2,CHEMBL3706770,nM,330.0,COc1cc2c(cc1OC)Oc1cc(N)c(C#N)c(N)c1C2,6.481486060122112
3,CHEMBL3706771,nM,460.0,N#Cc1c(N)cc2c(c1N)Cc1cccc(O)c1O2,6.337242168318426
4,CHEMBL3706773,nM,490.0,N#Cc1c(N)cc2c(c1N)Cc1cc3c(cc1O2)OCCO3,6.309803919971486
5,CHEMBL3706774,nM,530.0,N#Cc1c(N)cc2c(c1N)Cc1cc(N)ccc1O2,6.275724130399211
6,CHEMBL3706775,nM,560.0,N#Cc1c(N)cc2c(c1N)Cc1ccccc1O2,6.251811972993799
7,CHEMBL3706776,nM,620.0,N#Cc1c(N)cc2c(c1N)Cc1cc(O)c(C3COCCO3)cc1O2,6.207608310501746
8,CHEMBL3706777,nM,690.0,N#Cc1c(N)cc2c(c1N)Cc1c(O)cc(O)cc1O2,6.161150909262744
9,CHEMBL3706778,nM,770.0,CCOc1cc2c(cc1O)Cc1c(cc(N)c(C#N)c1N)O2,6.113509274827518
10,CHEMBL3706779,nM,850.0,N#Cc1c(N)cc2c(c1N)Cc1ccc(O)c(O)c1O2,6.070581074285707
11,CHEMBL3706782,nM,1680.0,N#Cc1c(N)cc2c(c1N)Cc1ccc(OCN3CCCC3)cc1O2,5.774690718274137
12,CHEMBL3706783,nM,237.0,N#Cc1c(N)cc2c(c1NCCO)Cc1cc(O)c(O)cc1O2,6.625251653989896
13,CHEMBL3706768,nM,403.0,CCCNc1c(C#N)c(N)cc2c1Cc1cc(O)c(O)cc1O2,6.39469495385889
14,CHEMBL3706769,nM,419.0,CCNc1c(C#N)c(N)cc2c1Cc1cc(O)c(O)cc1O2,6.377785977033705
15,CHEMBL360278,nM,70000.0,CN1c2ccccc2Cc2c1nc(N)c(C#N)c2N,4.154901959985743
16,CHEMBL3706788,nM,1940.0,COc1ccc2c(c1)Oc1cc(N)c(C#N)c(N)c1C2C(C#N)C#N,5.7121982700697735
17,CHEMBL3706789,nM,12800.0,N#Cc1c(N)cc2c(c1N)C(C(C#N)C#N)c1ccc(O)cc1O2,4.892790030352131
18,CHEMBL3706784,nM,6180.0,COc1ccc2c(c1)C(C(C#N)C#N)c1c(cc(N)c(C#N)c1N)O2,5.209011524911184
19,CHEMBL3706785,nM,4220.0,N#Cc1c(N)cc2c(c1N)C(C(C#N)C#N)c1cc(Br)ccc1O2,5.374687549038326
20,CHEMBL3706786,nM,3800.0,N#Cc1c(N)cc2c(c1N)C(C(C#N)C#N)c1cc(O)ccc1O2,5.42021640338319
21,CHEMBL3706781,nM,130.0,N#Cc1c(N)cc2c(c1N)Cc1cc(O)c(O)cc1O2,6.886056647693163
22,CHEMBL200381,nM,110000.0,N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,3.9586073148417746
23,CHEMBL199383,nM,16000.0,COc1ccc(CNC(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)cc1,4.795880017344075
24,CHEMBL200499,nM,17000.0,O=C(NCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1,4.769551078621726
25,CHEMBL388978,nM,110.0,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6.958607314841775
26,CHEMBL225519,nM,171.0,O=C1NCCc2[nH]c(-c3ccncc3)cc21,6.767003889607846
27,CHEMBL376384,nM,56.0,CN(Cc1ccccc1)C(=O)c1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,7.251811972993799
28,CHEMBL226321,nM,46.0,O=C(NCCc1ccccc1)c1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,7.337242168318426
